,X,Y
0,0,3
1,1,5
2,2,7
3,3,9
4,4,11
5,5,13
6,6,15
7,7,17
8,8,19
9,9,21
10,10,23
11,11,25
12,12,27
13,13,29
14,14,31
15,15,33
16,16,35
17,17,37
18,18,39
19,19,41
20,20,43
21,21,45
22,22,47
23,23,49
24,24,51
25,25,53
26,26,55
27,27,57
28,28,59
29,29,61
30,30,63
31,31,65
32,32,67
33,33,69
34,34,71
35,35,73
36,36,75
37,37,77
38,38,79
39,39,81
40,40,83
41,41,85
42,42,87
43,43,89
44,44,91
45,45,93
46,46,95
47,47,97
48,48,99
49,49,101
50,50,103
51,51,105
52,52,107
53,53,109
54,54,111
55,55,113
56,56,115
57,57,117
58,58,119
59,59,121
60,60,123
61,61,125
62,62,127
63,63,129
64,64,131
65,65,133
66,66,135
67,67,137
68,68,139
69,69,141
70,70,143
71,71,145
72,72,147
73,73,149
74,74,151
75,75,153
76,76,155
77,77,157
78,78,159
79,79,161
80,80,163
81,81,165
82,82,167
83,83,169
84,84,171
85,85,173
86,86,175
87,87,177
88,88,179
89,89,181
90,90,183
91,91,185
92,92,187
93,93,189
94,94,191
95,95,193
96,96,195
97,97,197
98,98,199
99,99,201
100,100,203
101,101,205
102,102,207
103,103,209
104,104,211
105,105,213
106,106,215
107,107,217
108,108,219
109,109,221
110,110,223
111,111,225
112,112,227
113,113,229
114,114,231
115,115,233
116,116,235
117,117,237
118,118,239
119,119,241
120,120,243
121,121,245
122,122,247
123,123,249
124,124,251
125,125,253
126,126,255
127,127,257
128,128,259
129,129,261
130,130,263
131,131,265
132,132,267
133,133,269
134,134,271
135,135,273
136,136,275
137,137,277
138,138,279
139,139,281
140,140,283
141,141,285
142,142,287
143,143,289
144,144,291
145,145,293
146,146,295
147,147,297
148,148,299
149,149,301
150,150,303
151,151,305
152,152,307
153,153,309
154,154,311
155,155,313
156,156,315
157,157,317
158,158,319
159,159,321
160,160,323
161,161,325
162,162,327
163,163,329
164,164,331
165,165,333
166,166,335
167,167,337
168,168,339
169,169,341
170,170,343
171,171,345
172,172,347
173,173,349
174,174,351
175,175,353
176,176,355
177,177,357
178,178,359
179,179,361
180,180,363
181,181,365
182,182,367
183,183,369
184,184,371
185,185,373
186,186,375
187,187,377
188,188,379
189,189,381
190,190,383
191,191,385
192,192,387
193,193,389
